source,symbol,transcript_id
Query,ACP2,Cre13.g577100.t1.2
Query,ARG7,Cre01.g021251.t1.1
Query,BCX1,Cre12.g484000.t1.2
Query,CTR2,Cre10.g434350.t1.1
Query,DGAT1,Cre01.g045903.t1.1
Query,DGTT1,Cre12.g557750.t1.1
Query,DGTT3,Cre06.g299050.t1.2
Query,DGTT4,Cre03.g205050.t1.2
Query,DGTT5,Cre02.g079050.t1.1
Query,FAD7,Cre01.g038600.t1.2
Query,FBP1,Cre07.g338451.t1.1
Query,FEA1,Cre12.g546550.t1.1
Query,ICL1,Cre06.g282800.t1.2
Query,KAR1,Cre03.g172000.t1.2
Query,HLIP1,Cre02.g109950.t1.2
Query,MLDP1,Cre09.g405500.t1.1
Query,NRR1,Cre16.g673250.t1.1
Query,PDAT1,Cre02.g106400.t1.1
Query,PEPC2,Cre03.g171950.t1.1
Query,PSR1,Cre12.g495100.t1.2
Query,SAC1,Cre03.g160400.t1.2
Query,SPPA1,Cre10.g444550.t1.2
Query,SQD1,Cre16.g656400.t1.2
Query,SQD2,Cre01.g038550.t1.1
Query,STA1,Cre13.g567950.t1.2
Query,STA6,Cre03.g188250.t1.2
Query,TAL1,Cre01.g032650.t1.2
Query,TAL1,Cre01.g032650.t2.1
Query,ZRT2,Cre01.g000150.t1.2
Query,ACC,0
Query,ACS2,0
Query,ACT1,0
Query,AMT1D,0
Query,APL1,0
Query,ARG9,0
Query,CAH1,0
Query,CAH3,0
Query,CBF5,0
Query,CDD12,0
Query,CKIN1,0
Query,CKIN2,0
Query,COX12,0
Query,COX4,0
Query,Cre02.g099850,0
Query,Cre03.g171950,0
Query,Cre05.g248150.t1,0
Query,Cre06.g299050.t1.2,0
Query,Cre09.g398289,0
Query,Cre16.g673852,0
Query,CsnRK2,0
Query,DD5,0
Query,DD9,0
Query,DGAT2,0
Query,DGTT2,0
Query,DYRK2,0
Query,GPAT2,0
Query,GPAT2;,0
Query,GPDH2,0
Query,GPDH3,0
Query,KASI,0
Query,MAS1,0
Query,MCT1,0
Query,PCK1,0
Query,PGD1,0
Query,SCD,0
Query,SNRK2.2,0
Query,SPS,0
Query,STA11,0
Query,STA7,0
Query,STA8,0
Query,THE,0
Query,TPS1,0
Query,UGP3,0
Query,UPL1,0
Query,VIP1,0
Query,XP_001691447,0
Query,XP_001694904,0
Query,XP_001702848,0
