gene_id	gene_name	candidate_gene	fold_difference
Cre09.g404900	Cre09.g404900	TRUE	85.990286
Cre04.g216700	PHOX	TRUE	82.751933
Cre01.g044300	Cre01.g044300	TRUE	71.100105
g16424	g16424	TRUE	58.169372
g2975	MPA1	TRUE	51.211994
Cre02.g144650	PTB12	TRUE	49.77532
Cre17.g696250	Cre17.g696250	TRUE	46.078124
Cre09.g407950	Cre09.g407950	TRUE	40.086013
Cre10.g419150	Cre10.g419150	TRUE	39.603321
g11359	g11359	TRUE	37.983595
Cre16.g671200	Cre16.g671200	TRUE	37.586986
Cre15.g636550	Cre15.g636550	TRUE	36.016205
g7556	PTB2	TRUE	35.358359
Cre08.g364100	Cre08.g364100	TRUE	32.949591
Cre16.g693819	Cre16.g693819	TRUE	32.723828
Cre08.g359300	PHO1	TRUE	31.176681
Cre16.g672250	Cre16.g672250	TRUE	29.686649
Cre16.g658400	FDX2	TRUE	25.86417
Cre07.g334750	Cre07.g334750	TRUE	24.718565
Cre05.g239850	PHOD	TRUE	24.67504
Cre04.g228300	Cre04.g228300	TRUE	24.599331
Cre16.g685650	GLR1	TRUE	24.360112
Cre02.g114500	Cre02.g114500	TRUE	23.397365
Cre16.g683850	GDP1	TRUE	23.230128
Cre01.g019550	Cre01.g019550	TRUE	23.086782
Cre07.g315050	Cre07.g315050,GGH1	TRUE	22.758086
Cre12.g537250	CSP1	TRUE	22.364678
g16422	g16422	TRUE	21.115752
g16717	g16717	TRUE	17.617355
Cre03.g160550	MTP4	TRUE	17.154681
Cre09.g396350	Cre09.g396350	TRUE	17.008048
Cre10.g441550	Cre10.g441550	TRUE	16.808091
Cre08.g382200	Cre08.g382200	TRUE	16.784809
Cre16.g674900	Cre16.g674900	TRUE	16.197916
Cre06.g298750	AOT4	TRUE	15.73959
Cre13.g572750	AMX3	TRUE	14.130554
Cre12.g559400	PDE12	TRUE	14.099938
Cre10.g445000	SLT2	TRUE	13.881809
Cre16.g689150	SQD3	TRUE	13.657859
Cre07.g343050	Cre07.g343050	TRUE	13.636682
Cre06.g284200	LHCBM9	TRUE	13.593944
Cre03.g167350	Cre03.g167350	TRUE	13.215014
g15030	g15030	TRUE	13.188953
g16544	g16544	TRUE	13.058073
Cre01.g044350	Cre01.g044350	TRUE	12.46172
g13808	TEF13	TRUE	12.325439
g16738	g16738	TRUE	11.554534
Cre08.g377950	Cre08.g377950	TRUE	11.527813
Cre03.g160850	Cre03.g160850	TRUE	11.031805
Cre04.g228250	Cre04.g228250	TRUE	10.696401
Cre02.g144750	PTB4	TRUE	9.930427
g7555	PTB3	TRUE	9.883911
Cre06.g308700	Cre06.g308700	TRUE	9.739161
Cre10.g463370	Cre10.g463370	TRUE	9.694614
Cre01.g034350	Cre01.g034350	TRUE	9.486865
Cre06.g263950	Cre06.g263950	TRUE	9.318901
Cre07.g354150	Cre07.g354150	TRUE	9.259037
Cre09.g408000	Cre09.g408000	TRUE	8.980724
Cre13.g583450	Cre13.g583450	TRUE	8.971247
g1409	g1409	TRUE	8.799741
Cre13.g585000	Cre13.g585000	TRUE	8.633368
Cre07.g331350	Cre07.g331350	TRUE	8.528388
Cre12.g502600	SLT1	TRUE	8.423973
Cre02.g107000	Cre02.g107000	TRUE	8.340703
Cre17.g740800	Cre17.g740800	TRUE	8.340703
Cre03.g180750	MES1	TRUE	8.297918
Cre08.g363100	Cre08.g363100	TRUE	8.296754
Cre09.g403700	Cre09.g403700	TRUE	8.236089
Cre14.g617200	RLS7	TRUE	8.164038
Cre01.g024500	Cre01.g024500	TRUE	8.150047
Cre02.g144700	PTB5	TRUE	8.030533
g7710	g7710	TRUE	7.991304
