gene_id	gene_name	candidate_gene	fold_difference
Cre12.g519100	ACX1	TRUE	2.06011730205279
Cre12.g484000	BCX1	FALSE	1.93820224719101
Cre17.g715250	BCC1	TRUE	2.26774691358025
Cre01.g037850	BCC2	TRUE	3.02338530066815
Cre01.g063200	ACP1	FALSE	0.956482320942883
Cre13.g577100	ACP2	TRUE	2.01832701367345
Cre16.g656400	SQD1	FALSE	1.35067873303167
Cre01.g038550	SQD2	FALSE	1.35526315789474
Cre16.g689150	SQD3	FALSE	0.75
Cre13.g585300	MGD1	TRUE	11.5
Cre13.g583600	DGD1	FALSE	0.92948717948718
Cre06.g250200	SAS1	FALSE	1.9996574169236
Cre07.g324200	BTA1	FALSE	0.925983037779491
Cre12.g539000	ECT1	FALSE	0.840579710144927
Cre03.g162600	PGP3	FALSE	1.10606060606061
Cre03.g180250	INO1	FALSE	1.22810333963453
Cre10.g419800	PIS1	FALSE	1.30530973451327
Cre14.g621650	MCT1	FALSE	1.16037735849057
Cre01.g045900	DGAT1	TRUE	0.282051282051282
Cre12.g557750	DGTT1	TRUE	0.10126582278481
Cre02.g121200	DGTT2	FALSE	1.0521327014218
Cre06.g299050	DGTT3	FALSE	1.06287425149701
Cre03.g205050	DGTT4	FALSE	0.613333333333333
Cre02.g079050	DGTT5	TRUE	NA
Cre02.g106400	PDAT1	TRUE	0.361702127659574
Cre12.g519100	ACX1	FALSE	1.72816728167282
Cre12.g484000	BCX1	TRUE	2.94871794871795
Cre17.g715250	BCC1	TRUE	5.37294332723949
Cre01.g037850	BCC2	TRUE	6.18451025056948
Cre01.g063200	ACP1	FALSE	1.22960372960373
Cre13.g577100	ACP2	TRUE	3.16296029530926
Cre16.g656400	SQD1	TRUE	3.25340599455041
Cre01.g038550	SQD2	TRUE	3.02941176470588
Cre16.g689150	SQD3	TRUE	Inf
Cre13.g585300	MGD1	TRUE	2.55555555555556
Cre13.g583600	DGD1	FALSE	0.553435114503817
Cre06.g250200	SAS1	TRUE	8.25017667844523
Cre07.g324200	BTA1	FALSE	1.45575757575758
Cre12.g539000	ECT1	FALSE	0.69047619047619
Cre03.g162600	PGP3	TRUE	5.21428571428571
Cre03.g180250	INO1	FALSE	0.638388470357026
Cre10.g419800	PIS1	FALSE	1.09259259259259
Cre14.g621650	MCT1	TRUE	4.54261363636364
Cre01.g045900	DGAT1	TRUE	0.22
Cre12.g557750	DGTT1	TRUE	0.0720720720720721
Cre02.g121200	DGTT2	FALSE	0.906122448979592
Cre06.g299050	DGTT3	FALSE	1.12698412698413
Cre03.g205050	DGTT4	FALSE	0.613333333333333
Cre02.g079050	DGTT5	TRUE	0
Cre02.g106400	PDAT1	TRUE	0.4
Cre12.g519100	ACX1	FALSE	1.9622905027933
Cre12.g484000	BCX1	TRUE	2.92372881355932
Cre17.g715250	BCC1	TRUE	3.93440428380187
Cre01.g037850	BCC2	TRUE	4.85688729874776
Cre01.g063200	ACP1	FALSE	1.34138588684043
Cre13.g577100	ACP2	FALSE	1.97653876448745
Cre16.g656400	SQD1	TRUE	2.39759036144578
Cre01.g038550	SQD2	FALSE	1.53731343283582
Cre16.g689150	SQD3	TRUE	Inf
Cre13.g585300	MGD1	TRUE	3.0377358490566
Cre13.g583600	DGD1	FALSE	0.682352941176471
Cre06.g250200	SAS1	TRUE	5.81664175386149
Cre07.g324200	BTA1	FALSE	1.51833122629583
Cre12.g539000	ECT1	FALSE	1.01754385964912
Cre03.g162600	PGP3	TRUE	2.60714285714286
Cre03.g180250	INO1	FALSE	0.690644932671864
Cre10.g419800	PIS1	FALSE	1.01027397260274
Cre14.g621650	MCT1	TRUE	14.8055555555556
Cre01.g045900	DGAT1	TRUE	0.362637362637363
Cre12.g557750	DGTT1	TRUE	0.0457142857142857
Cre02.g121200	DGTT2	FALSE	0.847328244274809
Cre06.g299050	DGTT3	FALSE	0.872235872235872
Cre03.g205050	DGTT4	FALSE	1.58620689655172
Cre02.g079050	DGTT5	TRUE	NA
Cre02.g106400	PDAT1	TRUE	0.350515463917526
Cre12.g519100	ACX1	TRUE	2.0014245014245
Cre12.g484000	BCX1	TRUE	3.29617834394904
Cre17.g715250	BCC1	TRUE	4.2656023222061
Cre01.g037850	BCC2	TRUE	4.67297762478485
Cre01.g063200	ACP1	FALSE	1.85576077396658
Cre13.g577100	ACP2	TRUE	2.51097133871775
Cre16.g656400	SQD1	FALSE	1.93517017828201
Cre01.g038550	SQD2	TRUE	4.90476190476191
Cre16.g689150	SQD3	TRUE	Inf
Cre13.g585300	MGD1	TRUE	4.73529411764706
Cre13.g583600	DGD1	FALSE	0.796703296703297
Cre06.g250200	SAS1	TRUE	4.03735085595712
Cre07.g324200	BTA1	FALSE	1.75072886297376
Cre12.g539000	ECT1	FALSE	1.02958579881657
Cre03.g162600	PGP3	FALSE	1.52083333333333
Cre03.g180250	INO1	FALSE	1.03395225464191
Cre10.g419800	PIS1	FALSE	1.09665427509294
Cre14.g621650	MCT1	TRUE	8.11675126903553
Cre01.g045900	DGAT1	TRUE	0.158653846153846
Cre12.g557750	DGTT1	TRUE	0.032520325203252
Cre02.g121200	DGTT2	FALSE	0.828358208955224
Cre06.g299050	DGTT3	FALSE	1.09230769230769
Cre03.g205050	DGTT4	FALSE	1.39393939393939
Cre02.g079050	DGTT5	TRUE	NA
Cre02.g106400	PDAT1	TRUE	0.425
