gene_id	gene_name	candidate_gene	fold_difference
Cre03.g175400	PGI1	FALSE	0.852272727272727
Cre03.g175400	PGI1	FALSE	0.683890577507599
Cre13.g598750	GPM1b	FALSE	0.79047619047619
Cre13.g598750	GPM1b	FALSE	0.788343558282209
Cre03.g181500	STA11	FALSE	1.16279069767442
Cre03.g181500	STA11	FALSE	1.20408163265306
Cre03.g188250	STA6	FALSE	0.790697674418605
Cre03.g188250	STA6	FALSE	1
Cre17.g721500	STA2	FALSE	0.522058823529412
Cre17.g721500	STA2	FALSE	0.600973236009732
Cre16.g665800	SSS4	FALSE	0.541666666666667
Cre16.g665800	SSS4	FALSE	0.551724137931034
Cre06.g282000	STA3	FALSE	0.573333333333333
Cre06.g282000	STA3	FALSE	0.583333333333333
Cre06.g289850	SBE1	FALSE	1
Cre06.g289850	SBE1	FALSE	2
Cre06.g270100	SBE2	FALSE	0.575757575757576
Cre06.g270100	SBE2	FALSE	0.566666666666667
Cre10.g444700	SBE3	FALSE	0.513966480446927
Cre10.g444700	SBE3	FALSE	0.553072625698324
Cre03.g185250	SSS2	TRUE	2.68181818181818
Cre03.g185250	SSS2	TRUE	2.43333333333333
Cre16.g663850	SSS5	FALSE	0.666666666666667
Cre16.g663850	SSS5	TRUE	0.473684210526316
Cre03.g175400	PGI1	FALSE	0.51487414187643
Cre03.g175400	PGI1	TRUE	0.483870967741935
Cre13.g598750	GPM1b	FALSE	1.15277777777778
Cre13.g598750	GPM1b	FALSE	1.21800947867299
Cre03.g181500	STA11	FALSE	0.961538461538462
Cre03.g181500	STA11	FALSE	0.819444444444444
Cre03.g188250	STA6	FALSE	0.677290836653386
Cre03.g188250	STA6	FALSE	1
Cre17.g721500	STA2	FALSE	0.71536523929471
Cre17.g721500	STA2	TRUE	0.365384615384615
Cre16.g665800	SSS4	TRUE	0.333333333333333
Cre16.g665800	SSS4	TRUE	0.380952380952381
Cre06.g282000	STA3	TRUE	0.19815668202765
Cre06.g282000	STA3	TRUE	0.2625
Cre06.g289850	SBE1	TRUE	0.25
Cre06.g289850	SBE1	TRUE	0.470588235294118
Cre06.g270100	SBE2	TRUE	0.351851851851852
Cre06.g270100	SBE2	TRUE	0.361702127659574
Cre10.g444700	SBE3	TRUE	0.218009478672986
Cre10.g444700	SBE3	TRUE	0.266846361185984
Cre03.g185250	SSS2	FALSE	2
Cre03.g185250	SSS2	TRUE	36.5
Cre16.g663850	SSS5	TRUE	0.272727272727273
Cre16.g663850	SSS5	TRUE	0.346153846153846
Cre03.g175400	PGI1	FALSE	0.827205882352941
Cre03.g175400	PGI1	FALSE	1.04651162790698
Cre13.g598750	GPM1b	TRUE	2.12820512820513
Cre13.g598750	GPM1b	TRUE	4.015625
Cre03.g181500	STA11	FALSE	1.06382978723404
Cre03.g181500	STA11	FALSE	1.34090909090909
Cre03.g188250	STA6	FALSE	0.83743842364532
Cre03.g188250	STA6	FALSE	2
Cre17.g721500	STA2	FALSE	0.816091954022989
Cre17.g721500	STA2	FALSE	0.735119047619048
Cre16.g665800	SSS4	TRUE	0.333333333333333
Cre16.g665800	SSS4	FALSE	0.761904761904762
Cre06.g282000	STA3	TRUE	0.32824427480916
Cre06.g282000	STA3	FALSE	0.567567567567568
Cre06.g289850	SBE1	TRUE	0.263157894736842
Cre06.g289850	SBE1	TRUE	0.307692307692308
Cre06.g270100	SBE2	FALSE	0.535211267605634
Cre06.g270100	SBE2	FALSE	0.607142857142857
Cre10.g444700	SBE3	TRUE	0.362204724409449
Cre10.g444700	SBE3	FALSE	0.647058823529412
Cre03.g185250	SSS2	FALSE	1.25531914893617
Cre03.g185250	SSS2	TRUE	18.25
Cre16.g663850	SSS5	TRUE	0.222222222222222
Cre16.g663850	SSS5	TRUE	0.290322580645161
Cre03.g175400	PGI1	FALSE	0.76271186440678
Cre03.g175400	PGI1	FALSE	1.00896860986547
Cre13.g598750	GPM1b	FALSE	1.31746031746032
Cre13.g598750	GPM1b	TRUE	2.70526315789474
Cre03.g181500	STA11	FALSE	1.16279069767442
Cre03.g181500	STA11	FALSE	1.73529411764706
Cre03.g188250	STA6	FALSE	0.627306273062731
Cre03.g188250	STA6	FALSE	2
Cre17.g721500	STA2	FALSE	0.605543710021322
Cre17.g721500	STA2	FALSE	0.866666666666667
Cre16.g665800	SSS4	TRUE	0.209677419354839
Cre16.g665800	SSS4	FALSE	0.516129032258065
Cre06.g282000	STA3	TRUE	0.272151898734177
Cre06.g282000	STA3	FALSE	0.533898305084746
Cre06.g289850	SBE1	TRUE	0.263157894736842
Cre06.g289850	SBE1	TRUE	0.470588235294118
Cre06.g270100	SBE2	FALSE	0.567164179104478
Cre06.g270100	SBE2	FALSE	0.708333333333333
Cre10.g444700	SBE3	TRUE	0.271386430678466
Cre10.g444700	SBE3	FALSE	0.592814371257485
Cre03.g185250	SSS2	TRUE	2.45833333333333
Cre03.g185250	SSS2	TRUE	9.125
Cre16.g663850	SSS5	TRUE	0.2
Cre16.g663850	SSS5	TRUE	0.290322580645161
Cre03.g175400	PGI1	FALSE	0.760135135135135
Cre03.g175400	PGI1	FALSE	1.13065326633166
Cre13.g598750	GPM1b	FALSE	1.11409395973154
Cre13.g598750	GPM1b	TRUE	2.35779816513761
Cre03.g181500	STA11	FALSE	1.06382978723404
Cre03.g181500	STA11	FALSE	1.68571428571429
