gene_id	gene_name	fold_difference	p_value	candidate_gene
Cre17.g720250.t1	LHCB4	0.74	0.182	FALSE
Cre16.g673650.t1	LHCB5	1.32	5.1e-10	FALSE
Cre02.g110750.t1	LHCB7	0.43	0.243	FALSE
Cre23.g766250.t1	LHCBM1	0.99	0.956	FALSE
Cre12.g548400.t1	LHCBM2	0.67	0.0527	FALSE
Cre32.g781300.t1	LHCBM3	0.78	0.188	FALSE
Cre06.g283950.t1	LHCBM4	0.71	0.0659	FALSE
Cre03.g156900.t1	LHCBM5	1.21	1.37e-08	FALSE
Cre06.g285250.t1	LHCBM6	0.72	0.0992	FALSE
Cre12.g548950.t1	LHCBM7	0.67	0.0527	FALSE
Cre06.g284250.t1	LHCBM8	0.72	0.0889	FALSE
Cre06.g284200.t1	LHCBM9	1.19	0.202	FALSE
Cre12.g517150.t1	APR	1.1	0.0113	FALSE
Cre02.g107450.t1	ATS2	0.91	0.555	FALSE
Cre05.g243800.t1	CPLD45	0.69	4.61e-11	FALSE
Cre10.g440450.t1	PSB28	0.78	6.63e-06	FALSE
Cre02.g132800.t1	PSBO	1.64	2.35e-08	FALSE
Cre12.g550850.t1	PSBP1	1.14	0.0316	FALSE
Cre12.g509050.t1	PSBP3	1.2	0.00117	FALSE
Cre07.g328200.t1	PSBP6	1.19	0.0264	FALSE
Cre08.g372450.t1	PSBQ	1.21	0.00314	FALSE
Cre06.g261000.t1	PSBR	1.31	0.298	FALSE
Cre11.g475250.t1	PSBW	1.03	0.83	FALSE
Cre-1.g2716969.t1	psbA	1.33	4.5e-08	FALSE
Cre-1.g2716987.t1	psbA	1.33	4.5e-08	FALSE
Cre-1.g2717002.t1	psbB	1.38	4.54e-12	FALSE
Cre-1.g2716963.t1	psbC	1.29	2.14e-09	FALSE
Cre-1.g2716961.t1	psbD	1.3	1.13e-08	FALSE
Cre-1.g2716990.t1	psbE	1.5	3.02e-05	FALSE
Cre-1.g2716994.t1	psbF	1.3	0.000467	FALSE
Cre-1.g2717030.t1	psbH	1.05	0.843	FALSE
Cre13.g578750.t1	TBA1	1.62	9.89e-07	FALSE
Cre01.g039300.t1	BPA1	0.78	1.8e-09	FALSE
Cre12.g483700.t1	BPA3	0.54	2.22e-16	FALSE
Cre06.g268600.t1	NAB1	1.05	0.651	FALSE
Cre05.g240550.t1	TLA1	1.38	0.0153	FALSE
Cre06.g283050.t1	LHCA1	0.93	0.587	FALSE
Cre12.g508750.t1	LHCA2	1.2	1.63e-06	FALSE
Cre18.g749750.t1	LHCA3	0.89	0.555	FALSE
Cre10.g452050.t1	LHCA4	1.21	0.464	FALSE
Cre10.g425900.t1	LHCA5	0.87	0.49	FALSE
Cre13.g598900.t1	LHCA6	1.13	0.424	FALSE
Cre16.g687900.t1	LHCA7	0.81	0.337	FALSE
Cre06.g272650.t1	LHCA8	0.98	0.906	FALSE
Cre07.g344950.t1	LHCA9	0.75	0.0658	FALSE
Cre56.g791050.t1	PSAD	1.11	0.0031	FALSE
Cre10.g420350.t1	PSAE	1.05	0.368	FALSE
Cre09.g412100.t1	PSAF	0.82	0.282	FALSE
Cre12.g560950.t1	PSAG	1.24	3.47e-05	FALSE
Cre07.g330250.t1	PSAH	1.15	0.00078	FALSE
Cre17.g724300.t1	PSAK	0.99	0.943	FALSE
Cre12.g486300.t1	PSAL	1.45	0.0536	FALSE
Cre02.g082500.t1	PSAN	1.3	0.0224	FALSE
Cre-1.g2717000.t1	psaA	1.28	9.25e-05	FALSE
Cre-1.g2717038.t1	psaB	1.14	0.0688	FALSE
Cre-1.g2717046.t1	psaC	0.92	0.079	FALSE
Cre-1.g2716958.t1	psaJ	1.16	0.0254	FALSE
Cre-1.g2717008.t1	ycf3	0.49	0.0115	TRUE
Cre18.g744400.t1	PETC	0.78	0.0636	FALSE
Cre12.g546150.t1	PETM	0.81	0.000798	FALSE
