transcript_id,gene_id,gene_symbol,pathway_id,annotation_version
Cre17.g709350.t1.2,Cre17.g709350,SYP5,,v5.5
Cre17.g709400.t1.1,Cre17.g709400,,,v5.5
Cre01.g000033.t1.1,Cre01.g000033,,,v5.5
Cre01.g000050.t1.1,Cre01.g000050,,,v5.5
Cre01.g000100.t1.1,Cre01.g000100,,,v5.5
Cre01.g000150.t1.2,Cre01.g000150,ZRT2,,v5.5
Cre01.g000200.t1.1,Cre01.g000200,,,v5.5
Cre01.g000250.t1.2,Cre01.g000250,,,v5.5
Cre01.g000300.t1.1,Cre01.g000300,,Creinhardtii PWY4FS-7,v5.5
Cre01.g000300.t1.1,Cre01.g000300,,Creinhardtii PWY-7411,v5.5
Cre01.g000300.t1.1,Cre01.g000300,,Creinhardtii PWY4FS-8,v5.5
Cre01.g000300.t1.1,Cre01.g000300,,Creinhardtii PWY0-1319,v5.5
Cre01.g000300.t1.1,Cre01.g000300,,Creinhardtii PWY-5667,v5.5
Cre01.g000300.t1.1,Cre01.g000300,,Creinhardtii TRIGLSYN-PWY,v5.5
Cre01.g000300.t1.1,Cre01.g000300,,Creinhardtii PWY-7417,v5.5
Cre17.g709450.t1.2,Cre17.g709450,,,v5.5
Cre01.g000350.t1.1,Cre01.g000350,,,v5.5
Cre01.g000400.t1.2,Cre01.g000400,,,v5.5
Cre01.g000450.t1.2,Cre01.g000450,,,v5.5
Cre01.g000500.t1.1,Cre01.g000500,,,v5.5
Cre01.g000550.t1.2,Cre01.g000550,,,v5.5
Cre01.g000600.t1.2,Cre01.g000600,,,v5.5
Cre01.g000650.t1.1,Cre01.g000650,,,v5.5
Cre01.g000700.t1.1,Cre01.g000700,,,v5.5
Cre01.g000750.t1.1,Cre01.g000750,,,v5.5
Cre01.g000800.t1.2,Cre01.g000800,CGL136,,v5.5
Cre01.g000800.t2.1,Cre01.g000800,CGL136,,v5.5
Cre01.g000850.t1.2,Cre01.g000850,CPLD38,,v5.5
Cre01.g000900.t1.2,Cre01.g000900,CPLD20,,v5.5
Cre01.g000950.t1.1,Cre01.g000950,,,v5.5
Cre01.g001000.t1.1,Cre01.g001000,,,v5.5
Cre01.g001150.t1.1,Cre01.g001150,,,v5.5
Cre01.g001200.t1.1,Cre01.g001200,,,v5.5
Cre01.g001250.t1.2,Cre01.g001250,,,v5.5
Cre01.g001700.t1.1,Cre01.g001700,,,v5.5
Cre01.g001750.t1.2,Cre01.g001750,,,v5.5
Cre01.g001800.t1.1,Cre01.g001800,,,v5.5
Cre01.g001950.t1.2,Cre01.g001950,,,v5.5
Cre01.g001983.t1.1,Cre01.g001983,,,v5.5
Cre01.g001983.t2.1,Cre01.g001983,,,v5.5
Cre01.g002050.t1.1,Cre01.g002050,,Creinhardtii PWY-6348,v5.5
Cre01.g002050.t1.1,Cre01.g002050,,Creinhardtii PWY-5083,v5.5
Cre01.g002100.t1.2,Cre01.g002100,,,v5.5
Cre01.g002150.t1.2,Cre01.g002150,,,v5.5
Cre01.g002200.t1.1,Cre01.g002200,,,v5.5
Cre01.g002201.t1.2,Cre01.g002201,,,v5.5
Cre01.g002201.t2.1,Cre01.g002201,,,v5.5
Cre01.g002203.t1.1,Cre01.g002203,,,v5.5
Cre01.g002227.t1.2,Cre01.g002227,,,v5.5
Cre01.g002234.t1.1,Cre01.g002234,,,v5.5
Cre01.g002300.t1.2,Cre01.g002300,CYN19-2,,v5.5
Cre01.g002550.t1.1,Cre01.g002550,,,v5.5
Cre01.g002650.t1.2,Cre01.g002650,,,v5.5
Cre01.g002700.t1.2,Cre01.g002700,,,v5.5
Cre01.g002750.t1.2,Cre01.g002750,,,v5.5
Cre01.g002750.t2.1,Cre01.g002750,,,v5.5
Cre01.g002787.t1.1,Cre01.g002787,,,v5.5
Cre01.g002950.t1.1,Cre01.g002950,,,v5.5
Cre01.g003000.t1.1,Cre01.g003000,,,v5.5
Cre01.g003100.t1.1,Cre01.g003100,,,v5.5
Cre01.g003100.t2.1,Cre01.g003100,,,v5.5
Cre01.g003150.t1.2,Cre01.g003150,,,v5.5
Cre01.g003200.t1.2,Cre01.g003200,,,v5.5
Cre01.g003300.t1.2,Cre01.g003300,,,v5.5
Cre01.g003376.t1.1,Cre01.g003376,,,v5.5
Cre01.g003450.t1.1,Cre01.g003450,,,v5.5
Cre01.g003450.t2.1,Cre01.g003450,,,v5.5
Cre01.g003463.t1.1,Cre01.g003463,,,v5.5
Cre01.g003475.t1.1,Cre01.g003475,,,v5.5
Cre01.g003487.t1.1,Cre01.g003487,,,v5.5
Cre01.g003500.t1.2,Cre01.g003500,MSH2,,v5.5
Cre01.g003508.t1.1,Cre01.g003508,,,v5.5
Cre01.g003516.t1.1,Cre01.g003516,,,v5.5
Cre17.g709500.t1.1,Cre17.g709500,,,v5.5
Cre01.g003700.t1.2,Cre01.g003700,,,v5.5
Cre01.g003751.t1.1,Cre01.g003751,,,v5.5
Cre01.g003800.t1.1,Cre01.g003800,,,v5.5
Cre01.g003826.t1.1,Cre01.g003826,,,v5.5
Cre01.g003850.t1.1,Cre01.g003850,CYP747A1,,v5.5
Cre01.g003950.t1.1,Cre01.g003950,,,v5.5
Cre01.g003950.t2.1,Cre01.g003950,,,v5.5
Cre01.g004000.t1.2,Cre01.g004000,,,v5.5
Cre01.g004050.t1.2,Cre01.g004050,,,v5.5
Cre01.g004124.t1.1,Cre01.g004124,,,v5.5
Cre01.g004124.t2.1,Cre01.g004124,,,v5.5
Cre01.g004157.t1.2,Cre01.g004157,,,v5.5
Cre01.g004200.t1.2,Cre01.g004200,,,v5.5
Cre01.g004250.t1.2,Cre01.g004250,DLT3,,v5.5
Cre01.g004300.t1.2,Cre01.g004300,ASN1,Creinhardtii ASPARAGINE-BIOSYNTHESIS,v5.5
Cre01.g004300.t1.2,Cre01.g004300,ASN1,Creinhardtii ASPARAGINESYN-PWY,v5.5
Cre01.g004300.t1.2,Cre01.g004300,ASN1,Creinhardtii PWY0-1325,v5.5
Cre01.g004300.t1.2,Cre01.g004300,ASN1,Creinhardtii PWY0-1325,v5.5
Cre01.g004300.t1.2,Cre01.g004300,ASN1,Creinhardtii GLUTAMINDEG-PWY,v5.5
Cre01.g004350.t1.2,Cre01.g004350,,,v5.5
Cre01.g004400.t1.2,Cre01.g004400,,,v5.5
Cre01.g004450.t1.2,Cre01.g004450,CPLD42,,v5.5
Cre01.g004500.t1.2,Cre01.g004500,,Creinhardtii LEUSYN-PWY,v5.5
Cre01.g004500.t1.2,Cre01.g004500,,Creinhardtii LEUSYN-PWY,v5.5
Cre01.g004500.t1.2,Cre01.g004500,,Creinhardtii BRANCHED-CHAIN-AA-SYN-PWY,v5.5
Cre01.g004500.t1.2,Cre01.g004500,,Creinhardtii BRANCHED-CHAIN-AA-SYN-PWY,v5.5
Cre01.g004550.t1.2,Cre01.g004550,FAP190,,v5.5
Cre01.g004600.t1.1,Cre01.g004600,,,v5.5
Cre01.g004651.t1.1,Cre01.g004651,,,v5.5
Cre01.g004700.t1.2,Cre01.g004700,,,v5.5
Cre01.g004750.t1.1,Cre01.g004750,,,v5.5
Cre01.g004750.t2.1,Cre01.g004750,,,v5.5
Cre01.g004800.t1.2,Cre01.g004800,,,v5.5
Cre01.g004850.t1.1,Cre01.g004850,,,v5.5
Cre01.g004900.t1.2,Cre01.g004900,,,v5.5
Cre01.g004950.t1.1,Cre01.g004950,,,v5.5
Cre01.g005001.t1.1,Cre01.g005001,,,v5.5
Cre01.g005050.t1.1,Cre01.g005050,,,v5.5
Cre01.g005100.t1.1,Cre01.g005100,,,v5.5
Cre01.g005150.t1.1,Cre01.g005150,,Creinhardtii GLYSYN-ALA-PWY,v5.5
Cre01.g005200.t1.1,Cre01.g005200,,,v5.5
Cre01.g005300.t1.2,Cre01.g005300,,,v5.5
Cre01.g005350.t1.2,Cre01.g005350,,,v5.5
Cre01.g005400.t1.1,Cre01.g005400,,,v5.5
Cre01.g005450.t1.2,Cre01.g005450,RSP10,,v5.5
Cre01.g005500.t1.2,Cre01.g005500,,,v5.5
Cre01.g005534.t1.2,Cre01.g005534,,,v5.5
Cre01.g005550.t1.2,Cre01.g005550,,,v5.5
Cre01.g005600.t1.1,Cre01.g005600,,,v5.5
Cre01.g005651.t1.1,Cre01.g005651,,,v5.5
Cre01.g005701.t1.2,Cre01.g005701,,,v5.5
Cre01.g005701.t2.1,Cre01.g005701,,,v5.5
Cre01.g005750.t1.1,Cre01.g005750,,,v5.5
Cre01.g005813.t1.2,Cre01.g005813,,,v5.5
Cre01.g005850.t1.2,Cre01.g005850,FAP23,,v5.5
Cre01.g005900.t1.1,Cre01.g005900,,,v5.5
Cre01.g005950.t1.2,Cre01.g005950,,,v5.5
Cre01.g006000.t1.1,Cre01.g006000,,,v5.5
Cre01.g006050.t1.1,Cre01.g006050,,,v5.5
Cre01.g006100.t1.2,Cre01.g006100,,,v5.5
Cre01.g006150.t1.1,Cre01.g006150,,,v5.5
Cre01.g006202.t1.1,Cre01.g006202,,,v5.5
Cre01.g006301.t1.1,Cre01.g006301,,,v5.5
Cre01.g006352.t1.1,Cre01.g006352,,,v5.5
Cre01.g006402.t1.1,Cre01.g006402,,,v5.5
Cre01.g006450.t1.2,Cre01.g006450,,,v5.5
Cre01.g006500.t1.1,Cre01.g006500,,,v5.5
Cre01.g006576.t1.1,Cre01.g006576,,,v5.5
Cre01.g006600.t1.2,Cre01.g006600,,,v5.5
Cre01.g006614.t1.1,Cre01.g006614,,,v5.5
Cre01.g006628.t2.1,Cre01.g006628,,,v5.5
Cre01.g006670.t1.1,Cre01.g006670,,,v5.5
Cre01.g006700.t1.2,Cre01.g006700,,,v5.5
Cre01.g006733.t1.1,Cre01.g006733,,,v5.5
Cre01.g006766.t1.1,Cre01.g006766,,,v5.5
Cre01.g006800.t1.1,Cre01.g006800,,,v5.5
Cre01.g006850.t1.2,Cre01.g006850,,,v5.5
Cre01.g006900.t1.1,Cre01.g006900,,,v5.5
Cre01.g006900.t2.1,Cre01.g006900,,,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii PWY66-399,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii PWY66-399,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii GLUCONEO-PWY,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii GLUCONEO-PWY,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii SUCSYN-PWY,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii SUCSYN-PWY,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii PWY-5464,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii PWY-5464,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii PWY-1042,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii PWY-1042,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii CALVIN-PWY,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii PWY66-399,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii PWY66-399,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii GLUCONEO-PWY,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii GLUCONEO-PWY,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii SUCSYN-PWY,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii SUCSYN-PWY,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii PWY-5464,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii PWY-5464,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii PWY-1042,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii PWY-1042,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii CALVIN-PWY,v5.5
Cre01.g007000.t1.2,Cre01.g007000,,,v5.5
Cre01.g007050.t1.2,Cre01.g007050,CPLD11,,v5.5
Cre01.g007051.t1.2,Cre01.g007051,RPL40,,v5.5
Cre01.g007100.t1.1,Cre01.g007100,,,v5.5
Cre01.g007150.t1.1,Cre01.g007150,,,v5.5
Cre01.g007200.t1.2,Cre01.g007200,,,v5.5
Cre01.g007251.t1.1,Cre01.g007251,,,v5.5
Cre01.g007300.t1.2,Cre01.g007300,,,v5.5
Cre01.g007350.t1.2,Cre01.g007350,,,v5.5
Cre01.g007400.t1.1,Cre01.g007400,,,v5.5
Cre01.g007450.t1.1,Cre01.g007450,,,v5.5
Cre01.g007500.t2.1,Cre01.g007500,,,v5.5
Cre01.g007500.t1.1,Cre01.g007500,,,v5.5
Cre01.g007550.t1.1,Cre01.g007550,,,v5.5
Cre01.g007600.t1.1,Cre01.g007600,,Creinhardtii PWY-6787,v5.5
Cre01.g007600.t1.1,Cre01.g007600,,Creinhardtii PWY-6787,v5.5
Cre01.g007600.t2.1,Cre01.g007600,,Creinhardtii PWY-6787,v5.5
Cre01.g007600.t2.1,Cre01.g007600,,Creinhardtii PWY-6787,v5.5
Cre01.g007651.t1.1,Cre01.g007651,,,v5.5
Cre01.g007700.t1.1,Cre01.g007700,,,v5.5
Cre01.g007737.t1.1,Cre01.g007737,,,v5.5
Cre01.g007774.t1.1,Cre01.g007774,,,v5.5
Cre01.g007811.t1.1,Cre01.g007811,,,v5.5
Cre01.g007850.t1.2,Cre01.g007850,,,v5.5
Cre01.g007901.t1.1,Cre01.g007901,,,v5.5
Cre01.g007901.t3.1,Cre01.g007901,,,v5.5
Cre01.g007901.t2.1,Cre01.g007901,,,v5.5
Cre01.g007950.t1.1,Cre01.g007950,,,v5.5
Cre01.g008000.t1.2,Cre01.g008000,,,v5.5
Cre01.g008051.t1.1,Cre01.g008051,,,v5.5
Cre01.g008100.t1.2,Cre01.g008100,,,v5.5
Cre01.g008150.t1.1,Cre01.g008150,,,v5.5
Cre01.g008200.t1.1,Cre01.g008200,,,v5.5
Cre01.g008250.t1.2,Cre01.g008250,,,v5.5
Cre01.g008300.t1.1,Cre01.g008300,,,v5.5
Cre01.g008300.t2.1,Cre01.g008300,,,v5.5
Cre01.g008350.t1.1,Cre01.g008350,,,v5.5
Cre01.g008402.t1.1,Cre01.g008402,,,v5.5
Cre01.g008450.t1.2,Cre01.g008450,,,v5.5
Cre01.g008500.t1.2,Cre01.g008500,,,v5.5
Cre01.g008550.t1.1,Cre01.g008550,,,v5.5
Cre01.g008600.t1.1,Cre01.g008600,,,v5.5
Cre01.g008650.t1.1,Cre01.g008650,,,v5.5
Cre01.g008700.t1.2,Cre01.g008700,,,v5.5
Cre01.g008750.t1.2,Cre01.g008750,,,v5.5
Cre01.g008800.t1.1,Cre01.g008800,,,v5.5
Cre01.g008850.t1.1,Cre01.g008850,,,v5.5
Cre01.g008891.t1.2,Cre01.g008891,,Creinhardtii PWY-5350,v5.5
Cre01.g008900.t1.2,Cre01.g008900,,,v5.5
Cre01.g008976.t1.1,Cre01.g008976,,,v5.5
Cre01.g009000.t1.1,Cre01.g009000,,,v5.5
Cre01.g009050.t1.2,Cre01.g009050,,,v5.5
Cre01.g009101.t1.1,Cre01.g009101,,,v5.5
Cre01.g009150.t1.1,Cre01.g009150,,,v5.5
Cre01.g009200.t1.2,Cre01.g009200,,,v5.5
Cre01.g009250.t1.1,Cre01.g009250,,,v5.5
Cre01.g009300.t1.1,Cre01.g009300,,,v5.5
Cre01.g009325.t1.1,Cre01.g009325,,,v5.5
Cre01.g009350.t1.2,Cre01.g009350,,Creinhardtii POLYAMINSYN3-PWY,v5.5
Cre01.g009350.t1.2,Cre01.g009350,,Creinhardtii PWY-43,v5.5
Cre01.g009400.t1.2,Cre01.g009400,,,v5.5
Cre01.g009450.t1.1,Cre01.g009450,DNJ22,,v5.5
Cre01.g009500.t1.2,Cre01.g009500,,,v5.5
Cre01.g009550.t1.1,Cre01.g009550,,,v5.5
Cre01.g009575.t1.1,Cre01.g009575,,,v5.5
Cre01.g009601.t1.1,Cre01.g009601,,,v5.5
Cre01.g009601.t2.1,Cre01.g009601,,,v5.5
Cre01.g009650.t1.2,Cre01.g009650,BUG25,,v5.5
Cre01.g009676.t1.1,Cre01.g009676,,,v5.5
Cre01.g009700.t1.1,Cre01.g009700,,,v5.5
Cre01.g009731.t1.2,Cre01.g009731,,,v5.5
Cre01.g009765.t1.1,Cre01.g009765,,,v5.5
Cre01.g009800.t1.2,Cre01.g009800,FAP289,,v5.5
Cre01.g009850.t1.2,Cre01.g009850,,,v5.5
Cre01.g009900.t1.1,Cre01.g009900,CDJ3,,v5.5
Cre01.g009950.t1.2,Cre01.g009950,,,v5.5
Cre01.g010000.t1.2,Cre01.g010000,,,v5.5
Cre01.g010050.t1.1,Cre01.g010050,,,v5.5
Cre01.g010100.t1.2,Cre01.g010100,,,v5.5
Cre01.g010150.t1.2,Cre01.g010150,,,v5.5
Cre01.g010201.t1.1,Cre01.g010201,,,v5.5
Cre01.g010250.t1.1,Cre01.g010250,,,v5.5
Cre01.g010300.t1.2,Cre01.g010300,,,v5.5
Cre01.g010350.t1.2,Cre01.g010350,LIPB,,v5.5
Cre01.g010400.t1.2,Cre01.g010400,,,v5.5
Cre01.g010450.t1.2,Cre01.g010450,,,v5.5
Cre01.g010500.t1.2,Cre01.g010500,,,v5.5
Cre01.g010550.t1.1,Cre01.g010550,,,v5.5
Cre01.g010550.t2.1,Cre01.g010550,,,v5.5
Cre01.g010650.t1.2,Cre01.g010650,,,v5.5
Cre01.g010700.t1.2,Cre01.g010700,,,v5.5
Cre01.g010750.t1.2,Cre01.g010750,,,v5.5
Cre01.g010800.t1.1,Cre01.g010800,,,v5.5
Cre01.g010816.t1.1,Cre01.g010816,,,v5.5
Cre01.g010832.t1.1,Cre01.g010832,,,v5.5
Cre01.g010848.t1.1,Cre01.g010848,,,v5.5
Cre01.g010864.t1.1,Cre01.g010864,,,v5.5
Cre01.g010880.t1.1,Cre01.g010880,,,v5.5
Cre01.g010900.t1.2,Cre01.g010900,GAP3,Creinhardtii CALVIN-PWY,v5.5
Cre01.g010950.t1.1,Cre01.g010950,,,v5.5
Cre01.g011000.t1.2,Cre01.g011000,RPL6,,v5.5
Cre01.g011100.t1.2,Cre01.g011100,,,v5.5
Cre01.g011100.t2.1,Cre01.g011100,,,v5.5
Cre01.g011150.t1.1,Cre01.g011150,,,v5.5
Cre01.g011200.t1.2,Cre01.g011200,,,v5.5
Cre01.g011250.t1.1,Cre01.g011250,,,v5.5
Cre01.g011300.t1.1,Cre01.g011300,SCLP50,,v5.5
Cre01.g011350.t1.2,Cre01.g011350,,,v5.5
Cre01.g011376.t1.1,Cre01.g011376,,,v5.5
Cre01.g011400.t1.1,Cre01.g011400,,,v5.5
Cre01.g011400.t2.1,Cre01.g011400,,,v5.5
Cre01.g011450.t1.1,Cre01.g011450,,,v5.5
Cre01.g011500.t1.2,Cre01.g011500,,,v5.5
Cre01.g011550.t1.1,Cre01.g011550,,,v5.5
Cre01.g011600.t1.2,Cre01.g011600,,,v5.5
Cre01.g011630.t1.1,Cre01.g011630,,,v5.5
Cre01.g011630.t2.1,Cre01.g011630,,,v5.5
Cre01.g011660.t2.1,Cre01.g011660,,,v5.5
Cre01.g011660.t1.1,Cre01.g011660,,,v5.5
Cre01.g011750.t1.1,Cre01.g011750,,,v5.5
Cre01.g011800.t1.1,Cre01.g011800,,,v5.5
