transcript_id,num_detected,num_sampled,proportion,source,annotation_version,gene_id,gene_symbol,pathway_id,transcript_id_v5.3.1
Cre01.g000017.t1.1,0,2,0.0,"['Bajhaiya_2016', 'Kwak_2017']",v5.5,Cre01.g000017,,,g2.t1
Cre01.g000033.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g000033,,,g3.t1
Cre01.g000050.t1.1,0,1,0.0,['Gargouri_2015'],v5.5,Cre01.g000050,,,Cre01.g000050.t1.3
Cre01.g000100.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g000100,,,Cre01.g000100.t1.3
Cre01.g000150.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g000150,ZRT2,,Cre01.g000150.t1.2
Cre01.g000200.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g000200,,,Cre01.g000200.t1.3
Cre01.g000250.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g000250,,,Cre01.g000250.t1.2
Cre01.g000300.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g000300,,"['Creinhardtii PWY-5667', 'Creinhardtii PWY-7411', 'Creinhardtii PWY-7417', 'Creinhardtii PWY0-1319', 'Creinhardtii PWY4FS-7', 'Creinhardtii PWY4FS-8', 'Creinhardtii TRIGLSYN-PWY']",Cre01.g000300.t1.3
Cre01.g000350.t1.1,1,2,0.125,"['Hemme_2014', 'Bajhaiya_2016']",v5.5,Cre01.g000350,,,Cre01.g000350.t1.3
Cre01.g000400.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g000400,,,Cre01.g000400.t1.2
Cre01.g000450.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g000450,,,Cre01.g000450.t1.2
Cre01.g000500.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g000500,,,Cre01.g000500.t1.3
Cre01.g000550.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g000550,,,Cre01.g000550.t1.2
Cre01.g000600.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g000600,,,Cre01.g000600.t1.2
Cre01.g000650.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g000650,,,Cre01.g000650.t1.3
Cre01.g000700.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g000700,,,g17.t1
Cre01.g000750.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g000750,,,Cre01.g000750.t1.3
Cre01.g000800.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g000800,CGL136,,Cre01.g000800.t1.2
Cre01.g000850.t1.2,1,2,0.125,"['Hemme_2014', 'Bajhaiya_2016']",v5.5,Cre01.g000850,CPLD38,,Cre01.g000850.t1.2
Cre01.g000900.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g000900,CPLD20,,Cre01.g000900.t1.2
Cre01.g000950.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g000950,,,Cre01.g000950.t1.3
Cre01.g001000.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g001000,,,Cre01.g001000.t1.3
Cre01.g001100.t1.2,2,3,0.25,"['Hemme_2014', 'Bajhaiya_2016', 'Blaby_2013']",v5.5,Cre01.g001100,,,Cre01.g001100.t1.2
Cre01.g001150.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g001150,,,Cre01.g001150.t1.3
Cre01.g001200.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g001200,,,Cre01.g001200.t1.3
Cre01.g001250.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g001250,,,g28.t1
Cre01.g001300.t1.1,0,2,0.0,"['Hemme_2014', 'Bajhaiya_2016']",v5.5,Cre01.g001300,,,g29.t1
Cre01.g001350.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g001350,,,Cre01.g001350.t1.2
Cre01.g001400.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g001400,,,Cre01.g001400.t1.1
Cre01.g001450.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g001450,,,g32.t1
Cre01.g001501.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g001501,OPR1,,g33.t1
Cre01.g001550.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g001550,,,Cre01.g001550.t1.3
Cre01.g001600.t1.2,0,2,0.0,"['Bajhaiya_2016', 'Gargouri_2015']",v5.5,Cre01.g001600,,,Cre01.g001600.t1.2
Cre01.g001650.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g001650,,,Cre01.g001650.t1.2
Cre01.g001657.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g001657,,,g37.t1
Cre01.g001664.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g001664,,,g38.t1
Cre01.g001671.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g001671,,,g39.t1
Cre01.g001678.t2.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g001678,,,g40.t1
Cre01.g001685.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g001685,,,g41.t1
Cre01.g001700.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g001700,,,g42.t1
Cre01.g001750.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g001750,,,Cre01.g001750.t1.2
Cre01.g001800.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g001800,,,Cre01.g001800.t1.3
Cre01.g001950.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g001950,,,Cre01.g001950.t1.2
Cre01.g001983.t2.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g001983,,,g46.t1
Cre01.g002050.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g002050,,"['Creinhardtii PWY-5083', 'Creinhardtii PWY-6348']",Cre01.g002050.t1.2
Cre01.g002100.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002100,,,Cre01.g002100.t1.2
Cre01.g002150.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002150,,,Cre01.g002150.t1.2
Cre01.g002200.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002200,,,Cre01.g002200.t1.2
Cre01.g002201.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002201,,,Cre01.g002201.t1.2
Cre01.g002203.t1.1,1,2,0.125,"['Bajhaiya_2016', 'Kwak_2017']",v5.5,Cre01.g002203,,,g51.t1
Cre01.g002227.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002227,,,Cre01.g002227.t1.2
Cre01.g002234.t2.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g002234,,,Cre01.g002236.t1.2
Cre01.g002250.t1.2,1,2,0.125,"['Bajhaiya_2016', 'Gargouri_2015']",v5.5,Cre01.g002250,NAT4,,Cre01.g002250.t1.2
Cre01.g002300.t1.2,2,3,0.25,"['Hemme_2014', 'Bajhaiya_2016', 'Kwak_2017']",v5.5,Cre01.g002300,CYN19-2,,Cre01.g002300.t1.2
Cre01.g002350.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002350,,,Cre01.g002350.t1.3
Cre01.g002400.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002400,,['Creinhardtii LIPAS-PWY'],Cre01.g002400.t1.3
Cre01.g002451.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g002451,,,g59.t1
Cre01.g002500.t1.2,1,2,0.125,"['Hemme_2014', 'Bajhaiya_2016']",v5.5,Cre01.g002500,,,Cre01.g002500.t1.2
