superpathway of fatty acid biosynthesis II (plant)

Gene ID	Gene Accession	Gene name	Reaction id	Reaction EC	Enzymatic activity	Evidence
GIO2-3915	Cre08.g359350.t1.2	Cre08.g359350.t1.2	ACETYL-COA-CARBOXYLTRANSFER-RXN	6.4.1.2	acetyl-CoA carboxylase	EV-COMP
GIO2-3950	Cre17.g715250.t1.2	Cre17.g715250.t1.2	ACETYL-COA-CARBOXYLTRANSFER-RXN	6.4.1.2	acetyl-CoA carboxylase	EV-COMP
GIO2-2854	Cre12.g519100.t1.2	Cre12.g519100.t1.2	ACETYL-COA-CARBOXYLTRANSFER-RXN	6.4.1.2	acetyl-CoA carboxylase	EV-COMP
GIO2-3981	Cre12.g484000.t1.2	Cre12.g484000.t1.2	ACETYL-COA-CARBOXYLTRANSFER-RXN	6.4.1.2	acetyl-CoA carboxylase	EV-COMP
GIO2-486	Cre08.g373050.t1.1	Cre08.g373050.t1.1	ACETYL-COA-CARBOXYLTRANSFER-RXN	6.4.1.2	acetyl-CoA carboxylase	EV-COMP
GIO2-494	Cre01.g037850.t1.1	Cre01.g037850.t1.1	ACETYL-COA-CARBOXYLTRANSFER-RXN	6.4.1.2	acetyl-CoA carboxylase	EV-COMP
GIO2-252	Cre14.g621650.t1.1	Cre14.g621650.t1.1	MALONYL-COA-ACP-TRANSACYL-RXN	2.3.1.39/2.3.1.85/2.3.1.86	fatty-acyl-CoA synthase	EV-COMP
GIO2-3734	Cre29.g757897.t1.1	Cre29.g757897.t1.1	MALONYL-COA-ACP-TRANSACYL-RXN	2.3.1.39/2.3.1.85/2.3.1.86	fatty-acyl-CoA synthase	EV-COMP
GIO2-3605	Cre02.g088250.t1.2	Cre02.g088250.t1.2	MALONYL-COA-ACP-TRANSACYL-RXN	2.3.1.39/2.3.1.85/2.3.1.86	Cre02.g088250.t1.2	EV-COMP
GIO2-2716	Cre04.g216950.t1.2	Cre04.g216950.t1.2	2.3.1.180-RXN	2.3.1.180	beta-ketoacyl-acyl-carrier-protein synthase III	EV-COMP
GIO2-1820	Cre03.g213313.t1.1	Cre03.g213313.t1.1	RXN-9514	1.1.1.100/2.3.1.85/2.3.1.86	fatty-acyl-CoA synthase	EV-COMP
GIO2-373	Cre06.g309826.t1.1	Cre06.g309826.t1.1	RXN-9514	1.1.1.100/2.3.1.85/2.3.1.86	fatty-acyl-CoA synthase	EV-COMP
GIO2-2577	Cre03.g172000.t1.2	Cre03.g172000.t1.2	RXN-9514	1.1.1.100/2.3.1.85/2.3.1.86	fatty-acyl-CoA synthase	EV-COMP
GIO2-3197	Cre02.g103100.t1.1	Cre02.g103100.t1.1	RXN-9514	1.1.1.100/2.3.1.85/2.3.1.86	fatty-acyl-CoA synthase	EV-COMP
GIO2-2703	Cre03.g208050.t1.2	Cre03.g208050.t1.2	4.2.1.58-RXN	2.3.1.85/2.3.1.86/4.2.1.59	fatty-acyl-CoA synthase	EV-COMP
GIO2-361	Cre06.g294950.t1.1	Cre06.g294950.t1.1	RXN-9657	1.3.1.9	enoyl-[acyl-carrier-protein] reductase (NADH)	EV-COMP
GIO2-5050	Cre10.g438050.t1.1	Cre10.g438050.t1.1	RXN-9516	2.3.1.41	beta-ketoacyl-acyl-carrier-protein synthase I	EV-COMP
GIO2-1596	Cre11.g467723.t1.1	Cre11.g467723.t1.1	RXN-9516	2.3.1.41	beta-ketoacyl-acyl-carrier-protein synthase I	EV-COMP
GIO2-373	Cre06.g309826.t1.1	Cre06.g309826.t1.1	RXN-9516	2.3.1.41	beta-ketoacyl-acyl-carrier-protein synthase I	EV-COMP
GIO2-1820	Cre03.g213313.t1.1	Cre03.g213313.t1.1	RXN-9518	1.1.1.100/2.3.1.85/2.3.1.86	fatty-acyl-CoA synthase	EV-COMP
GIO2-373	Cre06.g309826.t1.1	Cre06.g309826.t1.1	RXN-9518	1.1.1.100/2.3.1.85/2.3.1.86	fatty-acyl-CoA synthase	EV-COMP
GIO2-2577	Cre03.g172000.t1.2	Cre03.g172000.t1.2	RXN-9518	1.1.1.100/2.3.1.85/2.3.1.86	fatty-acyl-CoA synthase	EV-COMP
GIO2-3197	Cre02.g103100.t1.1	Cre02.g103100.t1.1	RXN-9518	1.1.1.100/2.3.1.85/2.3.1.86	fatty-acyl-CoA synthase	EV-COMP
GIO2-2703	Cre03.g208050.t1.2	Cre03.g208050.t1.2	RXN-9520	2.3.1.85/2.3.1.86/4.2.1.59	fatty-acyl-CoA synthase	EV-COMP
